u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
25632423,25632424,0,252526952,True,,tertiary,,False,122.133,"LINESTRING (-8.6022297 41.1510098, -8.6023759 41.1510052, -8.6036864 41.1509525)",,,,Rua da Firmeza,4,,,88
25632424,25632411,0,252526952,True,,tertiary,,False,47.20700000000001,"LINESTRING (-8.6036864 41.1509525, -8.6037649 41.1509502, -8.6041726 41.1509462, -8.6042501 41.1509449)",,,,Rua da Firmeza,4,,,89
25632424,25632433,0,274467054,True,,residential,,False,199.791,"LINESTRING (-8.6036864 41.1509525, -8.6036727 41.1509049, -8.6034058 41.1499762, -8.6033801 41.1498866, -8.6032733 41.149515, -8.6032645 41.1494844, -8.6031973 41.1492755, -8.6031713 41.1491982)",,,,Rua Doutor Alves da Veiga,4,,,90
25632425,25632426,0,350915445,True,,residential,,False,93.67,"LINESTRING (-8.6035241 41.1532611, -8.6024055 41.1532765)",,,,Rua do Moreira,4,,,91
25632425,25632411,0,252526950,True,,tertiary,,False,266.74699999999996,"LINESTRING (-8.6035241 41.1532611, -8.6040571 41.1519148, -8.6042602 41.1513983, -8.6042771 41.1513403, -8.6042753 41.1512802, -8.6042577 41.1510038, -8.6042501 41.1509449)",,,,Rua da Alegria,4,,,92
25632426,411909880,0,252527740,True,2,secondary,,False,140.929,"LINESTRING (-8.6024055 41.1532765, -8.6025153 41.1545412)",,,,Rua de Dom João IV,4,,,93
25632426,25632427,0,350915445,True,,residential,,False,135.969,"LINESTRING (-8.6024055 41.1532765, -8.6007815 41.1532733)",,,,Rua do Moreira,4,,,94
25632427,1043000761,0,14334429,True,,residential,,False,141.555,"LINESTRING (-8.6007815 41.1532733, -8.6005458 41.1545339)",,,,Rua de Anselmo Braamcamp,4,,,95
25632427,25632466,0,34614186,True,,residential,,False,88.942,"LINESTRING (-8.6007815 41.1532733, -8.5998568 41.153294, -8.5997196 41.1532952)",,,,Rua do Moreira,4,,,96
25632428,25632423,0,252526955,True,,tertiary,,False,91.567,"LINESTRING (-8.6011373 41.1510477, -8.6012247 41.1510462, -8.6021102 41.1510164, -8.6022297 41.1510098)",,,,Rua da Firmeza,4,,,97
25632428,25632427,0,350915448,True,,residential,,False,249.61600000000004,"LINESTRING (-8.6011373 41.1510477, -8.6011443 41.151124, -8.6011461 41.1512304, -8.6011448 41.151319, -8.6011274 41.1514117, -8.600874 41.1527505, -8.6007815 41.1532733)",,,,Rua de Anselmo Braamcamp,4,,,98
25632429,25632428,0,252526955,True,,tertiary,,False,84.382,"LINESTRING (-8.600131 41.1510849, -8.6002142 41.1510791, -8.6003165 41.151072, -8.6004777 41.1510638, -8.6011373 41.1510477)",,,,Rua da Firmeza,4,,,99
25632429,126647309,0,350915450,True,2,tertiary,,False,65.407,"LINESTRING (-8.600131 41.1510849, -8.600191 41.1507577, -8.6002415 41.1505026)",,,,Rua de Santos Pousada,,,,100
25632432,25632423,0,8367160,True,2,secondary,,False,225.829,"LINESTRING (-8.6020829 41.1489819, -8.6021532 41.1499717, -8.6021968 41.1505977, -8.602225 41.1509383, -8.6022297 41.1510098)",,,,Rua de Dom João IV,4,,,101
